subproject,library_id,index,donor_id,fastq_path_r1,fastq_path_r2,symbolic_link_r1,symbolic_link_r2,zUMI_barcode,plate,original_barcode,well,sample_id
CLL_52,AF9971,N720-S508-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N720-S508-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N720-S508-NX-xt_2.fastq.gz,CLL_05-76_S335_L007_R1_001.fastq.gz,CLL_05-76_S335_L007_R2_001.fastq.gz,ABIQCQOC,P2465,P2465_N720-S508,CLL_05_76_F04,05/76
CLL_52,AF9699,N706-S520-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N706-S520-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N706-S520-NX-xt_2.fastq.gz,CLL_05-76_S98_L006_R1_001.fastq.gz,CLL_05-76_S98_L006_R2_001.fastq.gz,ABOEIVKH,P2462,P2462_N706-S520,CLL_05_76_F06,05/76
CLL_52,AG0613,N722-S506-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N722-S506-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N722-S506-NX-xt_2.fastq.gz,CLL_05-76_S156_L001_R1_001.fastq.gz,CLL_05-76_S156_L001_R2_001.fastq.gz,ACZKUGRM,P2469,P2469_N722-S506,CLL_05_76_D06,05/76
CLL_52,AF9474,N702-S507-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N702-S507-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N702-S507-NX-xt_2.fastq.gz,CLL_05-599_S317_L006_R1_001.fastq.gz,CLL_05-599_S317_L006_R2_001.fastq.gz,ADDGGZUC,P2460,P2460_N702-S507,CLL_05_599_E02,05/599
CLL_52,AG0693,N704-S517-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N704-S517-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N704-S517-NX-xt_2.fastq.gz,CLL_05-76_S71_L001_R1_001.fastq.gz,CLL_05-76_S71_L001_R2_001.fastq.gz,ADEEHOJS,P2470,P2470_N704-S517,CLL_05_76_D04,05/76
CLL_52,AG0605,N721-S506-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N721-S506-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N721-S506-NX-xt_2.fastq.gz,CLL_05-76_S327_L001_R1_001.fastq.gz,CLL_05-76_S327_L001_R2_001.fastq.gz,ADWEWOST,P2469,P2469_N721-S506,CLL_05_76_D05,05/76
CLL_52,AG0084,N706-S521-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S521-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S521-NX-xt_2.fastq.gz,CLL_05-76_S227_L007_R1_001.fastq.gz,CLL_05-76_S227_L007_R2_001.fastq.gz,ADWEYGKH,P2466,P2466_N706-S521,CLL_05_76_G06,05/76
CLL_52,AG0489,N702-S511-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N702-S511-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N702-S511-NX-xt_2.fastq.gz,CLL_05-599_S55_L001_R1_001.fastq.gz,CLL_05-599_S55_L001_R2_001.fastq.gz,AERQJETK,P2468,P2468_N702-S511,CLL_05_599_H02,05/599
CLL_52,AF9805,N723-S522-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N723-S522-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N723-S522-NX-xt_2.fastq.gz,CLL_10-7434_S358_L006_R1_001.fastq.gz,CLL_10-7434_S358_L006_R2_001.fastq.gz,AEVDGSCM,P2463,P2463_N723-S522,CLL_10_7434_H07,10/7434
CLL_52,AG0577,N716-S511-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N716-S511-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N716-S511-NX-xt_2.fastq.gz,empty_S277_L001_R1_001.fastq.gz,empty_S277_L001_R2_001.fastq.gz,AEVHWXOT,P2469,P2469_N716-S511,empty_H01,empty
CLL_52,AG0854,N729-S518-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S518-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S518-NX-xt_2.fastq.gz,CLL_14-2116_S127_L001_R1_001.fastq.gz,CLL_14-2116_S127_L001_R2_001.fastq.gz,AFZHKICQ,P2471,P2471_N729-S518,CLL_14_2116_E12,14/2116
CLL_52,AG0029,N728-S511-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N728-S511-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N728-S511-NX-xt_2.fastq.gz,CLL_14-2116_S228_L007_R1_001.fastq.gz,CLL_14-2116_S228_L007_R2_001.fastq.gz,AHBRUXGL,P2465,P2465_N728-S511,CLL_14_2116_H11,14/2116
CLL_52,AG0544,N711-S510-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N711-S510-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N711-S510-NX-xt_2.fastq.gz,CLL_10-7434_S14_L001_R1_001.fastq.gz,CLL_10-7434_S14_L001_R2_001.fastq.gz,AHRSAKFD,P2468,P2468_N711-S510,CLL_10_7434_G09,10/7434
CLL_52,AF9688,N705-S516-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N705-S516-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N705-S516-NX-xt_2.fastq.gz,CLL_05-76_S41_L006_R1_001.fastq.gz,CLL_05-76_S41_L006_R2_001.fastq.gz,AHYYANMJ,P2462,P2462_N705-S516,CLL_05_76_C05,05/76
CLL_52,AF9809,N724-S517-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N724-S517-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N724-S517-NX-xt_2.fastq.gz,CLL_10-7434_S307_L006_R1_001.fastq.gz,CLL_10-7434_S307_L006_R2_001.fastq.gz,AIFTICXG,P2463,P2463_N724-S517,CLL_10_7434_D08,10/7434
CLL_52,AG0856,N729-S521-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S521-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S521-NX-xt_2.fastq.gz,CLL_14-2116_S115_L001_R1_001.fastq.gz,CLL_14-2116_S115_L001_R2_001.fastq.gz,AIRTESDE,P2471,P2471_N729-S521,CLL_14_2116_G12,14/2116
CLL_52,AG0498,N704-S502-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N704-S502-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N704-S502-NX-xt_2.fastq.gz,CLL_05-76_S224_L001_R1_001.fastq.gz,CLL_05-76_S224_L001_R2_001.fastq.gz,AISEGFYR,P2468,P2468_N704-S502,CLL_05_76_A04,05/76
CLL_52,AF9964,N719-S510-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N719-S510-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N719-S510-NX-xt_2.fastq.gz,CLL_05-599_S107_L007_R1_001.fastq.gz,CLL_05-599_S107_L007_R2_001.fastq.gz,AJGSAYZN,P2465,P2465_N719-S510,CLL_05_599_G03,05/599
CLL_52,AF9886,N706-S502-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S502-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S502-NX-xt_2.fastq.gz,CLL_05-76_S308_L007_R1_001.fastq.gz,CLL_05-76_S308_L007_R2_001.fastq.gz,AJLSQBMV,P2464,P2464_N706-S502,CLL_05_76_A06,05/76
CLL_52,AG0203,N726-S520-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N726-S520-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N726-S520-NX-xt_2.fastq.gz,CLL_10-7434_S115_L007_R1_001.fastq.gz,CLL_10-7434_S115_L007_R2_001.fastq.gz,AJNSWPHA,P2467,P2467_N726-S520,CLL_10_7434_F09,10/7434
CLL_52,AG0745,N712-S522-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N712-S522-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N712-S522-NX-xt_2.fastq.gz,CLL_14-2116_S161_L001_R1_001.fastq.gz,CLL_14-2116_S161_L001_R2_001.fastq.gz,AJTAQRTG,P2470,P2470_N712-S522,CLL_14_2116_H10,14/2116
CLL_52,AG0614,N722-S507-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N722-S507-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N722-S507-NX-xt_2.fastq.gz,CLL_05-76_S251_L001_R1_001.fastq.gz,CLL_05-76_S251_L001_R2_001.fastq.gz,AKGXZMIC,P2469,P2469_N722-S507,CLL_05_76_E06,05/76
CLL_52,AG0038,N701-S513-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N701-S513-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N701-S513-NX-xt_2.fastq.gz,CLL_05-599_S249_L007_R1_001.fastq.gz,CLL_05-599_S249_L007_R2_001.fastq.gz,AKMRAZUQ,P2466,P2466_N701-S513,CLL_05_599_A01,05/599
CLL_52,AF9620,N724-S510-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N724-S510-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N724-S510-NX-xt_2.fastq.gz,CLL_10-7434_S106_L006_R1_001.fastq.gz,CLL_10-7434_S106_L006_R2_001.fastq.gz,AKXLGFEX,P2461,P2461_N724-S510,CLL_10_7434_G08,10/7434
CLL_52,AG0775,N718-S520-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N718-S520-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N718-S520-NX-xt_2.fastq.gz,CLL_05-599_S47_L001_R1_001.fastq.gz,CLL_05-599_S47_L001_R2_001.fastq.gz,ALRIZINB,P2471,P2471_N718-S520,CLL_05_599_F02,05/599
CLL_52,AF9624,N726-S505-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N726-S505-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N726-S505-NX-xt_2.fastq.gz,CLL_10-7434_S311_L006_R1_001.fastq.gz,CLL_10-7434_S311_L006_R2_001.fastq.gz,AMCBLRPB,P2461,P2461_N726-S505,CLL_10_7434_C09,10/7434
CLL_52,AG0830,N726-S518-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N726-S518-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N726-S518-NX-xt_2.fastq.gz,CLL_10-7434_S22_L001_R1_001.fastq.gz,CLL_10-7434_S22_L001_R2_001.fastq.gz,AOGURVQG,P2471,P2471_N726-S518,CLL_10_7434_E09,10/7434
CLL_52,AF9896,N707-S505-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N707-S505-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N707-S505-NX-xt_2.fastq.gz,CLL_10-7434_S220_L007_R1_001.fastq.gz,CLL_10-7434_S220_L007_R2_001.fastq.gz,AOOLWYGD,P2464,P2464_N707-S505,CLL_10_7434_C07,10/7434
CLL_52,AG0851,N729-S515-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S515-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S515-NX-xt_2.fastq.gz,CLL_14-2116_S237_L001_R1_001.fastq.gz,CLL_14-2116_S237_L001_R2_001.fastq.gz,APLRMQUZ,P2471,P2471_N729-S515,CLL_14_2116_B12,14/2116
CLL_52,AG0482,N702-S502-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N702-S502-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N702-S502-NX-xt_2.fastq.gz,CLL_05-599_S209_L001_R1_001.fastq.gz,CLL_05-599_S209_L001_R2_001.fastq.gz,APYONLRT,P2468,P2468_N702-S502,CLL_05_599_A02,05/599
CLL_52,AG0022,N728-S502-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N728-S502-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N728-S502-NX-xt_2.fastq.gz,CLL_14-2116_S49_L007_R1_001.fastq.gz,CLL_14-2116_S49_L007_R2_001.fastq.gz,AQDTZEND,P2465,P2465_N728-S502,CLL_14_2116_A11,14/2116
CLL_52,AF9647,N729-S503-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N729-S503-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N729-S503-NX-xt_2.fastq.gz,CLL_14-2116_S144_L006_R1_001.fastq.gz,CLL_14-2116_S144_L006_R2_001.fastq.gz,AQYDVYBV,P2461,P2461_N729-S503,CLL_14_2116_B12,14/2116
CLL_52,AF9751,N716-S515-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N716-S515-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N716-S515-NX-xt_2.fastq.gz,CLL_05-599_S127_L006_R1_001.fastq.gz,CLL_05-599_S127_L006_R2_001.fastq.gz,ARNCSRTD,P2463,P2463_N716-S515,CLL_05_599_B01,05/599
CLL_52,AG0043,N701-S520-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N701-S520-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N701-S520-NX-xt_2.fastq.gz,CLL_05-599_S10_L007_R1_001.fastq.gz,CLL_05-599_S10_L007_R2_001.fastq.gz,ARVWISVK,P2466,P2466_N701-S520,CLL_05_599_F01,05/599
CLL_52,AF9932,N714-S510-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N714-S510-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N714-S510-NX-xt_2.fastq.gz,CLL_14-2116_S45_L007_R1_001.fastq.gz,CLL_14-2116_S45_L007_R2_001.fastq.gz,ASLMEVNA,P2464,P2464_N714-S510,CLL_14_2116_G11,14/2116
CLL_52,AF9550,N715-S502-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N715-S502-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N715-S502-NX-xt_2.fastq.gz,CLL_14-2116_S284_L006_R1_001.fastq.gz,CLL_14-2116_S284_L006_R2_001.fastq.gz,ASVBLJYQ,P2460,P2460_N715-S502,CLL_14_2116_A12,14/2116
CLL_52,AF9614,N724-S502-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N724-S502-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N724-S502-NX-xt_2.fastq.gz,CLL_10-7434_S362_L006_R1_001.fastq.gz,CLL_10-7434_S362_L006_R2_001.fastq.gz,ASWIGUDG,P2461,P2461_N724-S502,CLL_10_7434_A08,10/7434
CLL_52,AF9521,N710-S506-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N710-S506-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N710-S506-NX-xt_2.fastq.gz,CLL_10-7434_S54_L006_R1_001.fastq.gz,CLL_10-7434_S54_L006_R2_001.fastq.gz,ATMGCMBQ,P2460,P2460_N710-S506,CLL_10_7434_D08,10/7434
CLL_52,AG0715,N707-S515-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N707-S515-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N707-S515-NX-xt_2.fastq.gz,CLL_10-7434_S100_L001_R1_001.fastq.gz,CLL_10-7434_S100_L001_R2_001.fastq.gz,ATOGVFHG,P2470,P2470_N707-S515,CLL_10_7434_B07,10/7434
CLL_52,AG0151,N719-S515-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N719-S515-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N719-S515-NX-xt_2.fastq.gz,CLL_05-599_S128_L007_R1_001.fastq.gz,CLL_05-599_S128_L007_R2_001.fastq.gz,AXIDCBMF,P2467,P2467_N719-S515,CLL_05_599_B03,05/599
CLL_52,AF9753,N716-S517-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N716-S517-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N716-S517-NX-xt_2.fastq.gz,CLL_05-599_S301_L006_R1_001.fastq.gz,CLL_05-599_S301_L006_R2_001.fastq.gz,AXSLMTPE,P2463,P2463_N716-S517,CLL_05_599_D01,05/599
CLL_52,AF9547,N714-S508-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N714-S508-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N714-S508-NX-xt_2.fastq.gz,CLL_14-2116_S128_L006_R1_001.fastq.gz,CLL_14-2116_S128_L006_R2_001.fastq.gz,AZCBJESK,P2460,P2460_N714-S508,CLL_14_2116_F11,14/2116
CLL_52,AF9720,N711-S516-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N711-S516-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N711-S516-NX-xt_2.fastq.gz,CLL_10-7434_S89_L006_R1_001.fastq.gz,CLL_10-7434_S89_L006_R2_001.fastq.gz,AZIBXRLS,P2462,P2462_N711-S516,CLL_10_7434_C09,10/7434
CLL_52,AF9678,N704-S513-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N704-S513-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N704-S513-NX-xt_2.fastq.gz,CLL_05-76_S373_L006_R1_001.fastq.gz,CLL_05-76_S373_L006_R2_001.fastq.gz,AZVMNFCV,P2462,P2462_N704-S513,CLL_05_76_A04,05/76
CLL_52,AG0697,N704-S522-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N704-S522-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N704-S522-NX-xt_2.fastq.gz,CLL_05-76_S174_L001_R1_001.fastq.gz,CLL_05-76_S174_L001_R2_001.fastq.gz,BAAWZXEY,P2470,P2470_N704-S522,CLL_05_76_H04,05/76
CLL_52,AF9731,N712-S520-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N712-S520-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N712-S520-NX-xt_2.fastq.gz,CLL_14-2116_S91_L006_R1_001.fastq.gz,CLL_14-2116_S91_L006_R2_001.fastq.gz,BABDSUOQ,P2462,P2462_N712-S520,CLL_14_2116_F10,14/2116
CLL_52,AF9838,N729-S513-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N729-S513-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N729-S513-NX-xt_2.fastq.gz,CLL_14-2116_S335_L006_R1_001.fastq.gz,CLL_14-2116_S335_L006_R2_001.fastq.gz,BARIQOOY,P2463,P2463_N729-S513,CLL_14_2116_A12,14/2116
CLL_52,AG0620,N723-S505-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N723-S505-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N723-S505-NX-xt_2.fastq.gz,CLL_10-7434_S159_L001_R1_001.fastq.gz,CLL_10-7434_S159_L001_R2_001.fastq.gz,BAUHBXPD,P2469,P2469_N723-S505,CLL_10_7434_C07,10/7434
CLL_52,AF9567,N718-S503-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N718-S503-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N718-S503-NX-xt_2.fastq.gz,CLL_05-599_S84_L006_R1_001.fastq.gz,CLL_05-599_S84_L006_R2_001.fastq.gz,BBLJXEJW,P2461,P2461_N718-S503,CLL_05_599_B02,05/599
CLL_52,AF9760,N718-S516-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N718-S516-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N718-S516-NX-xt_2.fastq.gz,CLL_05-599_S13_L006_R1_001.fastq.gz,CLL_05-599_S13_L006_R2_001.fastq.gz,BBNQFCJL,P2463,P2463_N718-S516,CLL_05_599_C02,05/599
CLL_52,AF9970,N720-S507-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N720-S507-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N720-S507-NX-xt_2.fastq.gz,CLL_05-76_S267_L007_R1_001.fastq.gz,CLL_05-76_S267_L007_R2_001.fastq.gz,BBWBGYKP,P2465,P2465_N720-S507,CLL_05_76_E04,05/76
CLL_52,AG0562,N715-S502-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N715-S502-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N715-S502-NX-xt_2.fastq.gz,CLL_14-2116_S125_L001_R1_001.fastq.gz,CLL_14-2116_S125_L001_R2_001.fastq.gz,BDDFOSXK,P2468,P2468_N715-S502,CLL_14_2116_A12,14/2116
CLL_52,AF9636,N727-S510-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N727-S510-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N727-S510-NX-xt_2.fastq.gz,CLL_14-2116_S257_L006_R1_001.fastq.gz,CLL_14-2116_S257_L006_R2_001.fastq.gz,BDSGDKGD,P2461,P2461_N727-S510,CLL_14_2116_G10,14/2116
CLL_52,AF9637,N727-S511-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N727-S511-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N727-S511-NX-xt_2.fastq.gz,CLL_14-2116_S10_L006_R1_001.fastq.gz,CLL_14-2116_S10_L006_R2_001.fastq.gz,BEZQPAAR,P2461,P2461_N727-S511,CLL_14_2116_H10,14/2116
CLL_52,AF9663,N702-S515-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N702-S515-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N702-S515-NX-xt_2.fastq.gz,CLL_05-599_S356_L006_R1_001.fastq.gz,CLL_05-599_S356_L006_R2_001.fastq.gz,BFKNYMPC,P2462,P2462_N702-S515,CLL_05_599_B02,05/599
CLL_52,AG0857,N729-S522-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S522-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S522-NX-xt_2.fastq.gz,empty_S293_L001_R1_001.fastq.gz,empty_S293_L001_R2_001.fastq.gz,BGAZGIMK,P2471,P2471_N729-S522,empty_H12,empty
CLL_52,AG0682,N703-S513-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N703-S513-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N703-S513-NX-xt_2.fastq.gz,CLL_05-599_S260_L001_R1_001.fastq.gz,CLL_05-599_S260_L001_R2_001.fastq.gz,BGKGSKEE,P2470,P2470_N703-S513,CLL_05_599_A03,05/599
